0,1,2,3,4,5,6,7
1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-08,0.0005595514394147575,0.000584940796706353,0.000586319348057806,0.0005861322389416781,0.0005861490123983243,0.000586161247585186,0.0005861718210800298
1e-08,0.0008755892759093095,0.0009173399478658482,0.0009197754931224743,0.0009198198941023,0.0009198456383291275,0.0009198631250468413,0.0009198836949909377
1e-08,0.0011439880651374773,0.0011972399967788456,0.0012003427640051522,0.0012003993474160907,0.0012004407741077153,0.0012004562145936498,0.0012004804490993145
1e-08,0.0013698425407201683,0.0014396743535338623,0.0014437412538496003,0.0014437954058471119,0.0014438402723312527,0.0014438763338137327,0.0014439116284935111
1e-08,0.0017133634679425002,0.001801953479320787,0.0018071270081565429,0.001807186346372473,0.0018072585800512474,0.0018073020587850192,0.00180734750116609
1e-08,0.002043200720934782,0.002150443521752746,0.0021567042090713216,0.002156745401841843,0.0021568300240138003,0.0021568958339288433,0.002156941322183014
1e-08,0.0022582463805182447,0.0023851309840127576,0.0023925379538730788,0.002392604502591859,0.0023926866789783733,0.0023928023254714175,0.0023928509170270972
1e-08,0.0027262058341007023,0.0028819322952827013,0.002890923877587154,0.0028910581364691556,0.00289114662111147,0.002891295781900425,0.0028913281783101755
1e-08,0.004426348140503919,0.004640451845218625,0.004652560507505749,0.004653090264671742,0.0046533604507743576,0.004653424767374321,0.004653410252190791
